timestamp,sensorId,lat,lon,type,value
2026-02-02T01:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T01:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T01:30:00+01:00,2001,41.039867,21.356340,o3,28
2026-02-02T02:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T02:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T02:30:00+01:00,2001,41.039867,21.356340,o3,26
2026-02-02T03:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T03:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T03:30:00+01:00,2001,41.039867,21.356340,o3,26
2026-02-02T04:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T04:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T04:30:00+01:00,2001,41.039867,21.356340,o3,25
2026-02-02T05:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T05:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T05:30:00+01:00,2001,41.039867,21.356340,o3,24
2026-02-02T06:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T06:30:00+01:00,2001,41.039867,21.356340,no2,3
2026-02-02T06:30:00+01:00,2001,41.039867,21.356340,o3,25
2026-02-02T07:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T07:30:00+01:00,2001,41.039867,21.356340,no2,8
2026-02-02T07:30:00+01:00,2001,41.039867,21.356340,o3,23
2026-02-02T08:30:01+01:00,2001,41.039867,21.356340,co,0
2026-02-02T08:30:01+01:00,2001,41.039867,21.356340,no2,3
2026-02-02T08:30:01+01:00,2001,41.039867,21.356340,o3,29
2026-02-02T10:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T10:30:00+01:00,2001,41.039867,21.356340,no2,4
2026-02-02T10:30:00+01:00,2001,41.039867,21.356340,o3,34
2026-02-02T11:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T11:30:00+01:00,2001,41.039867,21.356340,no2,3
2026-02-02T11:30:00+01:00,2001,41.039867,21.356340,o3,38
2026-02-02T12:30:00+01:00,2001,41.039867,21.356340,co,0
2026-02-02T12:30:00+01:00,2001,41.039867,21.356340,no2,2
2026-02-02T12:30:00+01:00,2001,41.039867,21.356340,o3,38
2026-02-02T13:30:00+01:00,2001,41.039867,21.356340,co,0
