sensor_id,neighbor_id,distance_km
sensor_dev_60237_141,sensor_dev_10699_244,6.937128
sensor_dev_10699_244,sensor_dev_60237_141,6.937128
sensor_dev_60237_141,fefbf9e0-ff44-4b85-b968-2af046c4f4dc,3.446379
fefbf9e0-ff44-4b85-b968-2af046c4f4dc,sensor_dev_60237_141,3.446379
sensor_dev_60237_141,sensor_dev_81984_843,7.062097
sensor_dev_81984_843,sensor_dev_60237_141,7.062097
sensor_dev_60237_141,sensor_dev_78082_739,9.001751
sensor_dev_78082_739,sensor_dev_60237_141,9.001751
sensor_dev_60237_141,1fc02db8-38d2-4bb5-a2cb-a72f357d0e51,5.285258
1fc02db8-38d2-4bb5-a2cb-a72f357d0e51,sensor_dev_60237_141,5.285258
sensor_dev_60237_141,1002,21.018927
1002,sensor_dev_60237_141,21.018927
sensor_dev_60237_141,d42147ab-9f8c-4816-964b-62e6a82d6492,2.014177
d42147ab-9f8c-4816-964b-62e6a82d6492,sensor_dev_60237_141,2.014177
sensor_dev_60237_141,e1f23667-3ff3-475b-9931-3f4de249b5b8,3.345372
e1f23667-3ff3-475b-9931-3f4de249b5b8,sensor_dev_60237_141,3.345372
sensor_dev_60237_141,52546b6e-77bf-40f8-b0e5-6e54d7947e9f,3.331727
52546b6e-77bf-40f8-b0e5-6e54d7947e9f,sensor_dev_60237_141,3.331727
sensor_dev_60237_141,b17885fb-df39-477c-ba24-627edccb3c70,11.452118
b17885fb-df39-477c-ba24-627edccb3c70,sensor_dev_60237_141,11.452118
sensor_dev_60237_141,11888f3a-bc5e-4a0c-9f27-702984decedf,7.936740
11888f3a-bc5e-4a0c-9f27-702984decedf,sensor_dev_60237_141,7.936740
sensor_dev_60237_141,01440b05-255d-4764-be87-bdf135f32289,2.100165
01440b05-255d-4764-be87-bdf135f32289,sensor_dev_60237_141,2.100165
sensor_dev_60237_141,3791738b-bec6-452e-9aae-5b11a899bfe2,5.874403
3791738b-bec6-452e-9aae-5b11a899bfe2,sensor_dev_60237_141,5.874403
sensor_dev_60237_141,bb948861-3fd7-47dd-b986-cb13c9732725,7.905428
bb948861-3fd7-47dd-b986-cb13c9732725,sensor_dev_60237_141,7.905428
sensor_dev_60237_141,1a2af884-336b-427d-9b37-fe332557539f,3.650245
1a2af884-336b-427d-9b37-fe332557539f,sensor_dev_60237_141,3.650245
sensor_dev_60237_141,f9e27604-2715-4ec3-ac6c-e3385e29590c,3.727698
f9e27604-2715-4ec3-ac6c-e3385e29590c,sensor_dev_60237_141,3.727698
sensor_dev_60237_141,fef6bc74-bf86-4874-9531-51b033580379,4.404232
fef6bc74-bf86-4874-9531-51b033580379,sensor_dev_60237_141,4.404232
sensor_dev_60237_141,sensor_dev_84941_208,8.519554
sensor_dev_84941_208,sensor_dev_60237_141,8.519554
sensor_dev_60237_141,6c6a9ef6-85f9-45c0-9e01-0c9d2fb87bc2,7.547653
6c6a9ef6-85f9-45c0-9e01-0c9d2fb87bc2,sensor_dev_60237_141,7.547653
sensor_dev_60237_141,aad56180-edb5-442d-be63-b8b5f453a56d,4.632180
aad56180-edb5-442d-be63-b8b5f453a56d,sensor_dev_60237_141,4.632180
sensor_dev_60237_141,cec29ba1-5414-4cf3-bbcc-8ce4db1da5d0,4.064007
cec29ba1-5414-4cf3-bbcc-8ce4db1da5d0,sensor_dev_60237_141,4.064007
sensor_dev_60237_141,1f5c7035-6c1f-45ee-97f4-0a292b49710a,8.029704
1f5c7035-6c1f-45ee-97f4-0a292b49710a,sensor_dev_60237_141,8.029704
sensor_dev_60237_141,sensor_dev_42668_227,2.036387
sensor_dev_42668_227,sensor_dev_60237_141,2.036387
sensor_dev_60237_141,1005,5.201932
1005,sensor_dev_60237_141,5.201932
sensor_dev_60237_141,3c286a07-a04d-43d1-907f-e578355f242a,6.268252
3c286a07-a04d-43d1-907f-e578355f242a,sensor_dev_60237_141,6.268252
sensor_dev_60237_141,cf22ad10-aa16-4275-9d05-1830c16ec312,4.522784
cf22ad10-aa16-4275-9d05-1830c16ec312,sensor_dev_60237_141,4.522784
sensor_dev_60237_141,560ab70b-7291-48e2-a186-5b3a7cb1b5b9,5.274049
560ab70b-7291-48e2-a186-5b3a7cb1b5b9,sensor_dev_60237_141,5.274049
sensor_dev_60237_141,sensor_dev_81888_631,5.329121
sensor_dev_81888_631,sensor_dev_60237_141,5.329121
sensor_dev_60237_141,f9a91b1f-a6cf-4484-90e4-e5df7a128625,8.242370
f9a91b1f-a6cf-4484-90e4-e5df7a128625,sensor_dev_60237_141,8.242370
sensor_dev_60237_141,sensor_dev_79765_769,5.144438
sensor_dev_79765_769,sensor_dev_60237_141,5.144438
sensor_dev_60237_141,5346db83-fbf0-48c4-8714-1d896ca2f5e8,6.663907
5346db83-fbf0-48c4-8714-1d896ca2f5e8,sensor_dev_60237_141,6.663907
sensor_dev_60237_141,768284ed-72be-4c18-b764-1f9de38b365f,4.911335
768284ed-72be-4c18-b764-1f9de38b365f,sensor_dev_60237_141,4.911335
sensor_dev_60237_141,sensor_dev_81880_63,5.714650
sensor_dev_81880_63,sensor_dev_60237_141,5.714650
sensor_dev_60237_141,sensor_dev_81720_819,3.766866
sensor_dev_81720_819,sensor_dev_60237_141,3.766866
sensor_dev_60237_141,e55a51e2-d17a-41b2-b08d-6842a061681b,4.322054
e55a51e2-d17a-41b2-b08d-6842a061681b,sensor_dev_60237_141,4.322054
sensor_dev_60237_141,1587b09d-d0b0-4f46-b05e-d2fb93fc7863,4.996255
